s,z_ceil_dlio,z_ceil_fastlio,dlio_minus_fastlio
59.0,241.315,240.460,0.855
60.0,241.428,240.650,0.779
61.0,241.489,240.746,0.744
62.0,241.768,240.763,1.005
63.0,241.809,240.769,1.040
64.0,241.680,240.871,0.809
65.0,241.689,241.032,0.657
66.0,241.822,240.957,0.866
67.0,241.872,240.928,0.943
68.0,241.799,240.882,0.918
69.0,241.895,240.835,1.060
70.0,241.955,240.806,1.149
71.0,241.866,240.777,1.089
72.0,241.304,240.694,0.610
73.0,240.751,240.484,0.267
74.0,240.825,240.327,0.498
75.0,240.812,239.944,0.869
76.0,240.994,239.541,1.453
77.0,241.136,239.472,1.664
78.0,241.289,239.507,1.781
79.0,241.468,239.524,1.944
80.0,241.568,239.543,2.025
81.0,241.678,239.581,2.096
82.0,241.672,239.605,2.067
83.0,241.906,239.588,2.318
84.0,242.129,239.579,2.550
85.0,242.257,239.633,2.624
86.0,242.440,239.749,2.691
87.0,242.913,239.875,3.038
88.0,243.093,240.082,3.011
89.0,243.282,240.223,3.060
90.0,243.748,240.310,3.438
91.0,244.119,240.463,3.655
92.0,244.280,240.526,3.754
93.0,245.492,240.621,4.871
94.0,245.644,240.747,4.898
95.0,245.553,240.781,4.772
96.0,245.627,240.908,4.719
97.0,245.912,240.952,4.960
98.0,246.102,240.965,5.137
99.0,246.188,240.959,5.228
100.0,245.792,240.954,4.838
101.0,245.843,240.968,4.874
102.0,246.658,241.020,5.638
103.0,245.790,241.374,4.415
104.0,245.940,241.967,3.972
105.0,246.017,242.263,3.754
106.0,246.058,242.380,3.678
107.0,245.943,242.437,3.506
108.0,245.664,242.435,3.229
109.0,245.202,242.433,2.768
110.0,244.994,242.380,2.614
111.0,244.138,242.336,1.802
112.0,243.675,242.157,1.518
113.0,242.904,241.969,0.934
114.0,242.261,241.864,0.397
115.0,242.306,241.825,0.481
116.0,242.075,241.753,0.322
117.0,241.744,241.652,0.093
118.0,241.095,241.551,-0.456
119.0,240.018,241.453,-1.435
120.0,239.576,241.143,-1.567
121.0,238.335,240.738,-2.403
122.0,238.395,239.881,-1.487
123.0,238.056,239.689,-1.633
124.0,238.030,239.551,-1.521
125.0,237.789,239.418,-1.630
126.0,237.369,239.373,-2.004
127.0,237.059,239.319,-2.260
128.0,236.629,239.253,-2.624
129.0,236.551,239.232,-2.681
130.0,236.805,239.154,-2.349
131.0,236.753,239.006,-2.253
132.0,236.484,238.888,-2.404
133.0,236.120,238.626,-2.506
134.0,235.596,238.539,-2.943
135.0,230.446,238.510,-8.065
136.0,230.169,238.494,-8.325
137.0,229.801,238.452,-8.651
138.0,229.236,238.388,-9.152
139.0,232.138,238.327,-6.189
140.0,232.923,238.239,-5.316
141.0,232.233,238.166,-5.933
142.0,231.158,237.798,-6.640
143.0,230.894,237.641,-6.747
144.0,230.490,237.336,-6.845
145.0,230.078,237.061,-6.982
146.0,230.379,236.873,-6.494
147.0,230.253,236.726,-6.473
148.0,229.879,236.681,-6.802
149.0,229.841,236.737,-6.896
150.0,229.682,236.974,-7.292
151.0,229.458,237.156,-7.698
152.0,229.136,237.204,-8.068
153.0,228.678,237.189,-8.511
154.0,228.250,237.144,-8.894
155.0,227.865,237.107,-9.242
156.0,227.515,237.063,-9.548
157.0,227.701,236.994,-9.293
158.0,227.451,236.930,-9.479
159.0,227.194,236.872,-9.678
160.0,226.750,236.755,-10.005
161.0,226.667,236.626,-9.959
162.0,226.983,236.547,-9.564
163.0,227.002,236.551,-9.549
164.0,226.998,236.562,-9.563
165.0,226.880,236.643,-9.764
166.0,226.688,236.616,-9.928
167.0,225.943,236.529,-10.586
168.0,225.878,236.431,-10.553
169.0,225.542,236.318,-10.776
170.0,225.314,236.116,-10.803
171.0,225.010,235.969,-10.960
172.0,224.776,235.885,-11.109
173.0,224.779,235.752,-10.973
174.0,224.771,235.662,-10.891
175.0,224.318,235.466,-11.148
176.0,224.177,235.366,-11.189
177.0,223.661,235.249,-11.588
178.0,223.415,234.880,-11.465
