s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
168.0000,1364.5389,722.5424,231.8315,-0.1157,0.9927,0.0332,60.1767,1.0000,10.5710,8.6813,1.3427,8.7532,228.1869,237.1460,12887
169.0000,1364.4497,723.3735,231.8605,-0.0975,0.9946,0.0360,59.7316,1.0000,10.5718,8.3539,1.3854,8.7208,228.1446,236.8668,12613
170.0000,1364.3756,724.2134,231.8918,-0.0782,0.9962,0.0382,57.2546,1.0000,10.4273,8.1738,1.3909,8.5381,228.1444,236.5593,12365
171.0000,1364.3176,725.0610,231.9250,-0.0579,0.9975,0.0399,55.8839,1.0000,9.9927,8.0073,1.3470,8.4353,228.3136,236.5257,13365
172.0000,1364.2772,725.9155,231.9597,-0.0365,0.9985,0.0411,53.8998,1.0000,9.6192,7.8720,1.3393,8.2842,228.7062,236.8279,13685
173.0000,1364.2554,726.7760,231.9954,-0.0139,0.9990,0.0418,50.4924,1.0000,8.8123,7.7619,1.4116,8.0180,228.8718,236.8655,12020
174.0000,1364.2536,727.6415,232.0317,0.0098,0.9991,0.0420,46.0592,1.0000,8.7552,7.5766,1.4730,7.6580,228.9450,236.7061,11214
175.0000,1364.2729,728.5111,232.0682,0.0347,0.9985,0.0418,46.3801,1.0000,9.0756,7.6135,1.4095,7.6846,228.9247,236.7686,11821
176.0000,1364.3145,729.3838,232.1044,0.0607,0.9973,0.0410,51.4518,1.0000,10.3105,7.7449,1.3682,8.0939,228.9220,236.9095,13086
177.0000,1364.3797,730.2588,232.1400,0.0880,0.9953,0.0399,58.5253,1.0000,11.6984,7.8514,1.4869,8.6323,229.0063,237.0417,12593
178.0000,1364.4697,731.1351,232.1744,0.1163,0.9925,0.0382,64.5546,1.0000,13.1577,8.2247,1.6836,9.0661,228.7270,237.1548,12691
179.0000,1364.5842,732.0120,232.2073,0.1417,0.9893,0.0360,69.9682,1.0000,14.1292,8.4898,1.7793,9.4386,228.7263,237.3462,14193
180.0000,1364.7196,732.8891,232.2382,0.1625,0.9861,0.0333,73.4515,1.0000,15.4506,8.7804,1.8398,9.6706,228.4764,237.3690,14428
181.0000,1364.8720,733.7663,232.2664,0.1790,0.9834,0.0300,71.1433,1.0000,18.7871,8.8988,1.8991,9.5175,228.2737,237.2830,15791
182.0000,1365.0375,734.6433,232.2916,0.1911,0.9812,0.0262,62.9971,1.0000,22.9376,8.5674,1.9721,8.9560,228.5700,237.3167,18526
183.0000,1365.2122,735.5199,232.3131,0.1989,0.9798,0.0219,61.3251,1.0000,27.0288,8.2161,1.9964,8.8364,228.9587,237.3574,16740
184.0000,1365.3921,736.3958,232.3306,0.2026,0.9791,0.0170,58.3873,1.0000,24.7933,8.0473,1.9222,8.6221,229.2920,237.6045,14494
185.0000,1365.5732,737.2707,232.3434,0.2021,0.9793,0.0116,56.4447,1.0000,21.5081,7.6572,1.6379,8.4775,229.7885,237.7296,13525
186.0000,1365.7517,738.1445,232.3511,0.1974,0.9803,0.0056,56.5954,1.0000,10.1868,7.5485,1.4930,8.4888,229.8830,237.7373,13904
187.0000,1365.9236,739.0169,232.3532,0.1885,0.9821,-0.0010,57.0690,1.0000,10.5346,7.3074,1.5557,8.5242,229.9156,237.6992,13551
188.0000,1366.0849,739.8877,232.3491,0.1752,0.9845,-0.0083,58.6859,1.0000,10.9670,7.1352,1.6364,8.6441,229.8931,237.5973,12790
189.0000,1366.2318,740.7566,232.3384,0.1574,0.9874,-0.0162,59.5552,1.0000,11.4776,7.0536,1.7487,8.7079,229.8813,237.4127,12699
190.0000,1366.3603,741.6233,232.3205,0.1350,0.9905,-0.0248,58.7503,1.0000,11.3699,7.3712,1.6850,8.6489,229.8965,237.8446,12554
