s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
302.0,1324.434,819.620,nan,189.366,nan,0.532,9.34,1.00,0.000,no_dem
303.0,1323.842,820.032,nan,188.905,nan,0.532,9.09,1.00,0.000,no_dem
304.0,1323.247,820.420,nan,188.517,nan,0.532,9.24,1.00,0.000,no_dem
305.0,1322.649,820.784,nan,188.111,nan,0.532,9.10,1.00,0.000,no_dem
306.0,1322.046,821.125,nan,187.399,nan,0.532,8.60,1.00,0.000,no_dem
307.0,1321.438,821.445,nan,186.841,nan,0.532,8.38,1.00,0.000,no_dem
308.0,1320.825,821.742,nan,185.368,nan,0.532,8.46,1.00,0.000,no_dem
309.0,1320.205,822.020,nan,184.831,nan,0.532,8.64,1.00,0.000,no_dem
310.0,1319.577,822.278,nan,184.221,nan,0.532,8.59,1.00,0.000,no_dem
311.0,1318.942,822.516,nan,183.857,nan,0.532,8.22,0.99,0.000,no_dem
312.0,1318.298,822.737,nan,183.736,nan,0.532,7.91,0.97,0.000,no_dem
313.0,1317.644,822.941,nan,183.358,nan,0.532,7.71,1.00,0.000,no_dem
314.0,1316.980,823.128,nan,183.078,nan,0.532,7.55,1.00,0.000,no_dem
315.0,1316.306,823.299,nan,182.675,nan,0.532,6.65,1.00,0.000,no_dem
316.0,1315.619,823.456,nan,182.266,nan,0.532,6.42,0.99,0.000,no_dem
317.0,1314.920,823.598,nan,181.386,nan,0.532,6.40,0.99,0.000,no_dem
318.0,1314.208,823.728,nan,181.451,nan,0.532,6.45,0.99,0.000,no_dem
319.0,1313.482,823.845,nan,181.237,nan,0.532,6.54,0.88,0.000,no_dem
320.0,1312.742,823.950,nan,180.986,nan,0.532,6.80,0.96,0.000,no_dem
321.0,1311.986,824.044,nan,180.638,nan,0.532,6.97,0.93,0.000,no_dem
322.0,1311.213,824.129,nan,180.365,nan,0.532,6.85,0.86,0.000,no_dem
323.0,1310.424,824.204,nan,180.153,nan,0.532,6.85,0.88,0.000,no_dem
324.0,1309.618,824.271,nan,179.910,nan,0.532,7.05,0.81,0.000,no_dem
325.0,1308.793,824.330,nan,179.596,nan,0.532,7.27,0.82,0.000,no_dem
