s,x,y,z,tx,ty,tz
255.0,1345.9880,787.0621,231.5312,-0.4879,0.8717,0.0454
256.0,1345.5352,787.8597,231.5642,-0.4988,0.8663,0.0267
257.0,1345.0726,788.6515,231.5803,-0.5099,0.8602,0.0086
258.0,1344.5999,789.4371,231.5802,-0.5212,0.8534,-0.0087
259.0,1344.1167,790.2162,231.5646,-0.5327,0.8459,-0.0254
260.0,1343.6229,790.9884,231.5339,-0.5443,0.8379,-0.0413
261.0,1343.1179,791.7535,231.4891,-0.5561,0.8292,-0.0564
262.0,1342.6015,792.5111,231.4306,-0.5681,0.8199,-0.0708
263.0,1342.0734,793.2608,231.3591,-0.5802,0.8101,-0.0844
264.0,1341.5332,794.0024,231.2753,-0.5925,0.7997,-0.0973
265.0,1340.9805,794.7355,231.1799,-0.6049,0.7887,-0.1094
266.0,1340.4152,795.4598,231.0734,-0.6175,0.7773,-0.1207
267.0,1339.8367,796.1751,230.9566,-0.6302,0.7653,-0.1312
268.0,1339.2449,796.8808,230.8301,-0.6430,0.7528,-0.1409
269.0,1338.6393,797.5768,230.6945,-0.6559,0.7399,-0.1498
270.0,1338.0196,798.2628,230.5505,-0.6689,0.7264,-0.1579
271.0,1337.3856,798.9383,230.3988,-0.6819,0.7125,-0.1652
272.0,1336.7368,799.6030,230.2400,-0.6950,0.6982,-0.1717
273.0,1336.0729,800.2568,230.0748,-0.7081,0.6834,-0.1774
274.0,1335.3936,800.8991,229.9038,-0.7213,0.6682,-0.1823
275.0,1334.6986,801.5297,229.7276,-0.7344,0.6526,-0.1865
276.0,1333.9876,802.1483,229.5470,-0.7475,0.6366,-0.1898
277.0,1333.2601,802.7545,229.3625,-0.7605,0.6201,-0.1924
278.0,1332.5160,803.3480,229.1749,-0.7735,0.6033,-0.1942
279.0,1331.7547,803.9285,228.9848,-0.7863,0.5862,-0.1953
280.0,1330.9761,804.4957,228.7927,-0.7990,0.5687,-0.1956
281.0,1330.1798,805.0493,228.5995,-0.8115,0.5508,-0.1951
282.0,1329.3655,805.5890,228.4057,-0.8234,0.5332,-0.1939
283.0,1328.5347,806.1156,228.2122,-0.8337,0.5177,-0.1920
284.0,1327.6894,806.6307,228.0198,-0.8425,0.5043,-0.1895
285.0,1326.8320,807.1357,227.8295,-0.8498,0.4930,-0.1862
286.0,1325.9646,807.6323,227.6420,-0.8559,0.4839,-0.1824
287.0,1325.0895,808.1219,227.4582,-0.8608,0.4769,-0.1779
288.0,1324.2089,808.6059,227.2792,-0.8645,0.4720,-0.1728
289.0,1323.3251,809.0860,227.1056,-0.8672,0.4691,-0.1671
290.0,1322.4403,809.5636,226.9385,-0.8688,0.4684,-0.1607
291.0,1321.5566,810.0403,226.7787,-0.8694,0.4697,-0.1536
292.0,1320.6764,810.5175,226.6270,-0.8688,0.4732,-0.1458
293.0,1319.8019,810.9968,226.4844,-0.8672,0.4787,-0.1372
294.0,1318.9353,811.4797,226.3518,-0.8643,0.4865,-0.1278
295.0,1318.0787,811.9677,226.2299,-0.8601,0.4964,-0.1174
296.0,1317.2346,812.4622,226.1198,-0.8544,0.5086,-0.1061
297.0,1316.4050,812.9649,226.0222,-0.8471,0.5230,-0.0938
298.0,1315.5923,813.4772,225.9381,-0.8380,0.5398,-0.0804
299.0,1314.7986,814.0006,225.8683,-0.8267,0.5588,-0.0658
300.0,1314.0261,814.5367,225.8137,-0.8131,0.5800,-0.0498
301.0,1313.2772,815.0870,225.7753,-0.7967,0.6035,-0.0326
302.0,1312.5540,815.6529,225.7538,-0.7773,0.6290,-0.0139
303.0,1311.8574,816.2346,225.7494,-0.7581,0.6521,0.0040
304.0,1311.1849,816.8282,225.7602,-0.7417,0.6704,0.0198
305.0,1310.5329,817.4294,225.7839,-0.7286,0.6841,0.0333
306.0,1309.8984,818.0336,225.8182,-0.7193,0.6933,0.0446
307.0,1309.2780,818.6364,225.8609,-0.7141,0.6980,0.0536
308.0,1308.6683,819.2334,225.9097,-0.7133,0.6983,0.0601
309.0,1308.0662,819.8201,225.9623,-0.7172,0.6939,0.0642
310.0,1307.4683,820.3920,226.0163,-0.7259,0.6847,0.0658
311.0,1306.8713,820.9447,226.0697,-0.7394,0.6701,0.0646
312.0,1306.2719,821.4737,226.1200,-0.7579,0.6496,0.0605
313.0,1305.6669,821.9746,226.1650,-0.7809,0.6224,0.0533
314.0,1305.0530,822.4432,226.2027,-0.8072,0.5887,0.0444
315.0,1304.4284,822.8770,226.2337,-0.8341,0.5503,0.0375
316.0,1303.7918,823.2746,226.2599,-0.8611,0.5074,0.0327
317.0,1303.1417,823.6345,226.2832,-0.8875,0.4598,0.0304
318.0,1302.4768,823.9552,226.3055,-0.9125,0.4079,0.0304
319.0,1301.7959,824.2353,226.3287,-0.9355,0.3519,0.0329
320.0,1301.0976,824.4733,226.3547,-0.9556,0.2924,0.0378
321.0,1300.3806,824.6677,226.3853,-0.9721,0.2303,0.0449
322.0,1299.6438,824.8175,226.4224,-0.9842,0.1686,0.0537
323.0,1298.8880,824.9249,226.4669,-0.9916,0.1134,0.0627
324.0,1298.1154,824.9937,226.5192,-0.9953,0.0650,0.0719
325.0,1297.3280,825.0281,226.5798,-0.9964,0.0231,0.0814
326.0,1296.5278,825.0319,226.6491,-0.9958,-0.0124,0.0911
327.0,1295.7169,825.0093,226.7274,-0.9940,-0.0421,0.1013
328.0,1294.8973,824.9641,226.8154,-0.9915,-0.0664,0.1118
329.0,1294.0711,824.9004,226.9133,-0.9887,-0.0854,0.1229
330.0,1293.2402,824.8222,227.0217,-0.9859,-0.0997,0.1347
331.0,1292.4069,824.7334,227.1409,-0.9831,-0.1093,0.1471
332.0,1291.5730,824.6381,227.2714,-0.9804,-0.1144,0.1603
333.0,1290.7407,824.5402,227.4136,-0.9779,-0.1152,0.1744
334.0,1289.9119,824.4437,227.5679,-0.9755,-0.1115,0.1896
335.0,1289.0888,824.3527,227.7349,-0.9731,-0.1033,0.2059
336.0,1288.2734,824.2710,227.9149,-0.9705,-0.0905,0.2234
337.0,1287.4676,824.2028,228.1083,-0.9675,-0.0728,0.2422
338.0,1286.6737,824.1520,228.3156,-0.9637,-0.0499,0.2624
339.0,1285.8935,824.1226,228.5373,-0.9586,-0.0216,0.2841
340.0,1285.1292,824.1185,228.7736,-0.9516,0.0125,0.3071
341.0,1284.3828,824.1438,229.0252,-0.9420,0.0528,0.3315
342.0,1283.6563,824.2025,229.2924,-0.9288,0.0995,0.3570
343.0,1282.9518,824.2985,229.5757,-0.9110,0.1526,0.3832
344.0,1282.2713,824.4359,229.8754,-0.8874,0.2118,0.4095
345.0,1281.6169,824.6186,230.1920,-0.8569,0.2765,0.4350
346.0,1280.9907,824.8506,230.5260,-0.8186,0.3454,0.4589
347.0,1280.3946,825.1360,230.8778,-0.7720,0.4168,0.4799
348.0,1279.8306,825.4786,231.2478,-0.7172,0.4884,0.4971
