s,x,y,z_dem,z_ceil,tau,sigma_tau,span,coverage,ghost_frac,class
179.0,1363.648,724.905,238.860,232.305,6.555,1.470,10.22,1.00,0.000,intact
180.0,1363.606,725.727,238.860,232.589,6.271,1.470,9.78,1.00,0.000,intact
181.0,1363.584,726.548,238.870,232.611,6.259,1.470,9.20,1.00,0.000,intact
182.0,1363.581,727.366,238.880,232.617,6.263,1.470,8.78,1.00,0.000,intact
183.0,1363.599,728.181,238.920,232.484,6.436,1.470,8.92,1.00,0.000,intact
184.0,1363.636,728.992,238.930,232.605,6.325,1.470,9.32,1.00,0.000,intact
185.0,1363.694,729.798,239.010,232.832,6.178,1.470,10.90,1.00,0.000,intact
186.0,1363.774,730.600,238.980,232.872,6.108,1.470,12.42,1.00,0.000,intact
187.0,1363.874,731.397,239.010,233.005,6.005,1.470,13.68,1.00,0.000,intact
188.0,1363.995,732.188,239.070,233.194,5.876,1.470,14.39,1.00,0.000,intact
189.0,1364.136,732.973,239.090,233.247,5.843,1.470,18.02,1.00,0.000,intact
190.0,1364.293,733.753,239.060,233.184,5.876,1.470,19.35,1.00,0.000,intact
191.0,1364.462,734.529,239.060,233.207,5.853,1.470,26.91,1.00,0.000,intact
192.0,1364.640,735.300,239.080,233.239,5.841,1.470,26.05,1.00,0.000,intact
193.0,1364.824,736.068,239.080,233.309,5.771,1.470,23.57,1.00,0.000,intact
194.0,1365.009,736.834,239.120,233.541,5.579,1.470,10.48,1.00,0.000,intact
195.0,1365.192,737.597,239.130,233.676,5.454,1.470,9.89,1.00,0.000,intact
196.0,1365.370,738.359,239.150,233.720,5.430,1.470,9.93,1.00,0.000,intact
197.0,1365.540,739.120,239.160,233.753,5.407,1.470,10.44,1.00,0.000,intact
198.0,1365.697,739.880,239.240,233.601,5.639,1.470,10.74,1.00,0.000,intact
199.0,1365.838,740.641,239.260,233.591,5.669,1.470,11.23,1.00,0.000,intact
200.0,1365.960,741.403,239.330,233.429,5.901,1.470,11.46,0.99,0.000,intact
201.0,1366.059,742.166,239.380,234.160,5.220,1.470,11.24,1.00,0.000,intact
202.0,1366.132,742.931,239.400,234.408,4.992,1.470,10.57,1.00,0.000,intact
203.0,1366.175,743.698,239.470,234.513,4.957,1.470,10.65,1.00,0.000,intact
204.0,1366.184,744.469,239.510,234.560,4.950,1.470,10.40,1.00,0.000,intact
205.0,1366.157,745.243,239.610,234.129,5.482,1.470,10.52,1.00,0.000,intact
206.0,1366.089,746.022,239.670,234.065,5.605,1.470,10.70,1.00,0.000,intact
207.0,1365.977,746.806,239.790,233.437,6.353,1.470,10.67,1.00,0.000,intact
208.0,1365.817,747.595,239.760,233.365,6.395,1.470,10.67,1.00,0.000,intact
209.0,1365.608,748.390,239.760,233.328,6.432,1.470,10.50,1.00,0.000,intact
210.0,1365.350,749.191,239.820,233.206,6.614,1.470,31.19,1.00,0.000,intact
211.0,1365.048,749.998,239.880,232.950,6.930,1.470,31.30,1.00,0.000,intact
212.0,1364.705,750.811,239.900,232.781,7.118,1.470,31.47,1.00,0.000,intact
213.0,1364.325,751.628,239.910,232.581,7.329,1.470,31.56,1.00,0.000,intact
214.0,1363.913,752.450,239.970,233.886,6.084,1.470,31.17,1.00,0.000,intact
215.0,1363.472,753.277,240.060,232.995,7.065,1.470,8.52,1.00,0.000,intact
216.0,1363.005,754.107,240.110,232.395,7.715,1.470,8.20,1.00,0.000,intact
217.0,1362.517,754.942,240.150,232.243,7.907,1.470,8.48,1.00,0.000,intact
218.0,1362.011,755.781,240.210,232.173,8.037,1.470,8.51,1.00,0.000,intact
219.0,1361.492,756.622,240.300,231.898,8.402,1.470,8.28,1.00,0.000,intact
220.0,1360.962,757.467,240.360,231.632,8.728,1.470,8.11,1.00,0.000,intact
221.0,1360.427,758.315,240.440,231.561,8.879,1.470,8.02,1.00,0.000,intact
222.0,1359.889,759.165,240.480,231.486,8.994,1.470,7.30,1.00,0.000,intact
223.0,1359.353,760.017,240.640,233.504,7.136,1.470,7.00,1.00,0.000,intact
224.0,1358.822,760.871,240.810,233.349,7.461,1.470,7.15,1.00,0.000,intact
225.0,1358.300,761.727,240.880,232.242,8.638,1.470,7.52,1.00,0.000,intact
226.0,1357.791,762.584,240.930,232.604,8.326,1.470,7.72,1.00,0.000,intact
227.0,1357.298,763.442,240.990,231.144,9.846,1.470,7.83,1.00,0.000,intact
228.0,1356.821,764.301,241.070,231.155,9.915,1.470,8.05,1.00,0.000,intact
229.0,1356.358,765.160,241.110,232.733,8.377,1.470,7.92,1.00,0.000,intact
230.0,1355.908,766.020,241.300,233.201,8.099,1.470,7.87,0.99,0.000,intact
231.0,1355.471,766.880,241.470,232.956,8.514,1.470,7.92,0.99,0.000,intact
232.0,1355.045,767.740,241.490,231.898,9.592,1.470,7.80,0.97,0.000,intact
233.0,1354.629,768.600,241.540,232.030,9.510,1.470,8.02,0.96,0.000,intact
234.0,1354.223,769.460,241.540,232.903,8.637,1.470,8.38,1.00,0.000,intact
235.0,1353.824,770.319,241.580,233.129,8.451,1.470,8.20,1.00,0.000,intact
236.0,1353.433,771.177,241.620,232.606,9.014,1.470,8.55,1.00,0.000,intact
237.0,1353.048,772.034,241.600,233.306,8.294,1.470,8.91,1.00,0.000,intact
238.0,1352.668,772.890,241.650,233.558,8.092,1.470,9.04,1.00,0.000,intact
239.0,1352.292,773.745,241.680,233.327,8.353,1.470,8.60,1.00,0.000,intact
240.0,1351.918,774.598,241.700,233.168,8.532,1.470,7.53,1.00,0.000,intact
241.0,1351.547,775.449,241.730,233.705,8.025,1.470,7.55,1.00,0.000,intact
242.0,1351.177,776.298,241.760,233.962,7.798,1.470,8.01,1.00,0.000,intact
