s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
232.0000,1338.4323,797.8088,230.6470,-0.6602,0.7354,-0.1526,29.7580,1.0000,11.3507,6.9436,1.9236,6.1554,227.7619,235.5031,14442
233.0000,1337.7652,798.5370,230.4901,-0.6741,0.7209,-0.1609,39.4993,1.0000,11.0167,7.1240,1.8252,7.0917,227.4206,235.7065,14697
234.0000,1337.0841,799.2504,230.3254,-0.6880,0.7059,-0.1683,42.9991,1.0000,10.6836,7.3532,1.7463,7.3992,226.9377,235.4184,15834
235.0000,1336.3891,799.9486,230.1538,-0.7019,0.6905,-0.1748,41.7825,1.0000,10.5873,7.5569,1.6044,7.2938,226.6162,235.2583,16636
236.0000,1335.6803,800.6312,229.9761,-0.7158,0.6746,-0.1804,37.2827,1.0000,10.4788,7.6912,1.6290,6.8898,226.4250,234.8504,13665
237.0000,1334.9576,801.2978,229.7933,-0.7296,0.6584,-0.1850,41.6649,1.0000,10.3932,7.2821,1.7058,7.2835,226.4960,234.4919,13285
238.0000,1334.2212,801.9479,229.6063,-0.7432,0.6418,-0.1888,37.1380,1.0000,10.4178,7.1711,1.5298,6.8764,226.4046,234.3014,12903
239.0000,1333.4712,802.5813,229.4160,-0.7568,0.6249,-0.1918,39.4769,1.0000,10.6916,7.3853,1.5471,7.0897,225.9872,234.1382,12021
240.0000,1332.7077,803.1976,229.2231,-0.7702,0.6077,-0.1938,27.0086,1.0000,9.9627,7.8262,1.3632,5.8642,225.5697,233.9948,14578
241.0000,1331.9309,803.7966,229.0286,-0.7834,0.5901,-0.1951,27.4678,1.0000,10.1238,7.9539,1.2841,5.9138,224.9525,233.3875,16925
242.0000,1331.1410,804.3778,228.8332,-0.7963,0.5724,-0.1956,19.7213,1.0000,10.1352,7.9580,1.2588,5.0110,224.4941,233.1136,14976
243.0000,1330.3383,804.9412,228.6377,-0.8090,0.5544,-0.1953,18.0970,1.0000,11.5900,8.3471,1.3087,4.8002,223.8072,232.6232,15383
244.0000,1329.5230,805.4865,228.4429,-0.8213,0.5365,-0.1942,25.3447,1.0000,11.7353,8.8083,1.2283,5.6807,223.3941,232.4940,15203
245.0000,1328.6963,806.0148,228.2495,-0.8319,0.5205,-0.1924,39.1918,1.0000,11.2505,9.0146,1.2131,7.0640,223.1161,232.7712,14130
246.0000,1327.8598,806.5283,228.0583,-0.8409,0.5068,-0.1900,47.1361,1.0000,12.5171,9.4418,1.3783,7.7470,222.6566,233.4014,12891
247.0000,1327.0151,807.0292,227.8697,-0.8484,0.4953,-0.1870,46.6758,1.0000,11.9347,9.8943,1.3694,7.7090,222.2397,233.2137,11857
248.0000,1326.1635,807.5195,227.6845,-0.8546,0.4858,-0.1833,43.4304,1.0000,11.5711,9.4695,1.2377,7.4362,222.5107,232.2543,11727
249.0000,1325.3062,808.0015,227.5032,-0.8597,0.4784,-0.1791,40.2636,1.0000,10.8911,9.3514,1.1576,7.1600,222.3940,232.0747,11903
250.0000,1324.4445,808.4771,227.3265,-0.8636,0.4731,-0.1743,26.4609,1.0000,10.4916,9.3571,1.2904,5.8044,222.1464,232.2190,11250
251.0000,1323.5794,808.9483,227.1549,-0.8665,0.4697,-0.1688,22.5919,1.0000,10.7079,8.8131,1.2214,5.3633,222.2528,231.2812,11486
252.0000,1322.7118,809.4172,226.9891,-0.8684,0.4684,-0.1627,24.3385,1.0000,10.5799,8.8050,1.1791,5.5668,222.1974,231.1160,12136
253.0000,1321.8429,809.8858,226.8297,-0.8693,0.4690,-0.1560,23.1425,1.0000,9.8945,8.9287,1.1351,5.4283,221.8977,231.2169,15191
254.0000,1320.9736,810.3560,226.6773,-0.8691,0.4718,-0.1485,23.7384,1.0000,9.9837,9.0747,1.0535,5.4977,221.9775,231.7402,19391
255.0000,1320.1050,810.8300,226.5329,-0.8679,0.4766,-0.1403,27.9752,1.0000,10.3903,9.4223,1.1369,5.9682,221.5687,231.8308,20178
256.0000,1319.2382,811.3098,226.3971,-0.8654,0.4835,-0.1312,33.2415,1.0000,10.5034,9.6993,1.1814,6.5057,221.3139,231.7366,22517
257.0000,1318.3745,811.7978,226.2709,-0.8617,0.4927,-0.1211,31.1628,1.0000,10.3648,10.2365,1.2845,6.2990,220.8376,231.8364,25787
258.0000,1317.5153,812.2961,226.1552,-0.8565,0.5043,-0.1100,29.2724,1.0000,10.0853,10.5349,1.2356,6.1050,220.5137,231.9643,28095
259.0000,1316.6621,812.8072,226.0512,-0.8496,0.5183,-0.0978,31.5943,1.0000,10.0736,10.5340,1.1584,6.3425,220.4374,231.8570,29270
260.0000,1315.8167,813.3335,225.9601,-0.8407,0.5349,-0.0843,50.7872,1.0000,9.8646,10.1680,1.1798,8.0414,220.6444,231.5201,29333
261.0000,1314.9814,813.8778,225.8832,-0.8295,0.5541,-0.0693,36.6028,1.0000,9.4846,10.0975,1.2024,6.8267,220.9268,231.6654,27307
262.0000,1314.1586,814.4427,225.8221,-0.8156,0.5762,-0.0527,21.2054,1.0000,9.3924,10.1922,1.1248,5.1961,221.1649,231.8135,23293
263.0000,1313.3512,815.0311,225.7784,-0.7985,0.6010,-0.0344,25.2434,1.0000,9.2148,10.3154,1.0927,5.6693,221.1053,231.8306,21757
