s,x,y,z_ceil_flight1,z_ceil_flight2,dz
38.0000,1376.4796,620.1129,169.5111,169.5684,-0.0573
39.0000,1376.6947,621.0894,169.0632,168.9865,0.0767
40.0000,1376.9165,622.0645,169.0885,168.7497,0.3388
41.0000,1377.1439,623.0383,169.3583,168.7785,0.5798
42.0000,1377.3765,624.0107,169.3914,168.8685,0.5229
43.0000,1377.6144,624.9819,169.5203,168.8748,0.6455
44.0000,1377.8573,625.9516,169.5417,168.8703,0.6715
45.0000,1378.1053,626.9198,169.5173,168.8464,0.6709
46.0000,1378.3582,627.8866,169.5143,168.8539,0.6604
47.0000,1378.6160,628.8519,169.4094,168.8665,0.5429
48.0000,1378.8785,629.8158,169.2322,169.1478,0.0844
49.0000,1379.1456,630.7782,169.3181,169.2428,0.0754
50.0000,1379.4173,631.7392,169.8742,169.2197,0.6545
51.0000,1379.6934,632.6988,170.1821,169.9988,0.1833
52.0000,1379.9738,633.6571,170.2237,170.1286,0.0951
53.0000,1380.2584,634.6142,170.2266,170.1173,0.1093
54.0000,1380.5471,635.5702,170.2242,169.9967,0.2275
55.0000,1380.8397,636.5250,170.2751,169.8990,0.3761
56.0000,1381.1360,637.4788,170.8796,170.0848,0.7948
57.0000,1381.4360,638.4317,170.9038,170.0861,0.8177
58.0000,1381.7395,639.3836,170.9388,170.0763,0.8624
59.0000,1382.0463,640.3348,170.8779,170.0238,0.8541
60.0000,1382.3561,641.2852,170.7211,169.6249,1.0962
61.0000,1382.6689,642.2348,170.6610,169.5431,1.1179
62.0000,1382.9843,643.1837,170.4431,169.1976,1.2455
63.0000,1383.3022,644.1318,169.4609,168.9161,0.5448
64.0000,1383.6223,645.0791,168.5771,168.9160,-0.3389
65.0000,1383.9443,646.0255,168.6018,168.9148,-0.3131
66.0000,1384.2678,646.9709,168.6230,168.9109,-0.2879
67.0000,1384.5926,647.9151,168.6916,168.8284,-0.1368
68.0000,1384.9184,648.8579,168.7242,168.8020,-0.0778
69.0000,1385.2446,649.7989,168.7237,168.7237,-0.0000
70.0000,1385.5710,650.7380,168.7282,168.7116,0.0166
71.0000,1385.8971,651.6746,168.9473,168.7107,0.2366
72.0000,1386.2223,652.6083,169.1965,168.8909,0.3056
73.0000,1386.5462,653.5387,170.0086,169.4190,0.5897
74.0000,1386.8657,654.4668,170.0744,169.8672,0.2072
75.0000,1387.1766,655.3945,170.0760,169.8678,0.2082
76.0000,1387.4743,656.3238,170.1507,169.8873,0.2634
77.0000,1387.7545,657.2567,170.1878,169.9061,0.2818
78.0000,1388.0123,658.1952,170.3562,170.1485,0.2077
79.0000,1388.2427,659.1409,170.3844,170.1929,0.1914
80.0000,1388.4404,660.0952,170.3846,170.1971,0.1875
81.0000,1388.5996,661.0589,170.4170,170.2030,0.2139
82.0000,1388.7145,662.0320,170.4320,170.2367,0.1953
83.0000,1388.7792,663.0137,170.4857,170.2754,0.2103
84.0000,1388.7883,664.0017,170.9912,170.5016,0.4895
85.0000,1388.7370,664.9927,171.0775,170.7414,0.3361
86.0000,1388.6220,665.9820,171.1688,170.8294,0.3394
87.0000,1388.4427,666.9644,171.2997,170.8827,0.4170
88.0000,1388.2057,667.9356,171.2832,170.9209,0.3623
89.0000,1387.9202,668.8937,171.1205,170.8714,0.2491
90.0000,1387.5942,669.8378,171.3182,171.1282,0.1900
91.0000,1387.2349,670.7684,171.6539,171.5604,0.0935
92.0000,1386.8482,671.6863,171.9695,171.5418,0.4276
93.0000,1386.4395,672.5927,171.8241,171.4750,0.3491
94.0000,1386.0129,673.4890,171.7155,171.3492,0.3663
95.0000,1385.5723,674.3768,171.7323,171.1644,0.5679
96.0000,1385.1208,675.2574,171.7810,171.3841,0.3969
97.0000,1384.6611,676.1324,171.9435,171.5386,0.4049
98.0000,1384.1959,677.0030,171.9424,171.5902,0.3522
99.0000,1383.7271,677.8707,171.8680,171.5662,0.3018
100.0000,1383.2569,678.7367,171.7715,171.5195,0.2520
101.0000,1382.7870,679.6020,170.2787,170.0819,0.1967
102.0000,1382.3192,680.4680,170.1043,169.9126,0.1918
103.0000,1381.8551,681.3356,169.4539,169.1881,0.2658
104.0000,1381.3959,682.2055,169.1891,168.9908,0.1982
105.0000,1380.9412,683.0776,169.0795,168.9300,0.1495
106.0000,1380.4904,683.9518,169.0646,168.8806,0.1840
107.0000,1380.0430,684.8279,169.0449,168.8622,0.1827
108.0000,1379.5987,685.7056,169.0408,168.7699,0.2709
109.0000,1379.1568,686.5849,168.9867,168.6803,0.3064
110.0000,1378.7170,687.4655,168.8727,168.6230,0.2497
111.0000,1378.2788,688.3474,168.5603,168.5175,0.0427
112.0000,1377.8417,689.2303,168.2136,168.1504,0.0632
113.0000,1377.4054,690.1142,167.9491,167.8612,0.0879
114.0000,1376.9694,690.9989,167.9433,167.8428,0.1005
115.0000,1376.5332,691.8843,167.9360,167.8073,0.1287
116.0000,1376.0964,692.7702,167.9131,167.7871,0.1260
117.0000,1375.6586,693.6564,167.8522,167.7186,0.1335
118.0000,1375.2193,694.5429,167.7380,167.6758,0.0622
119.0000,1374.7780,695.4294,167.7008,167.6433,0.0575
120.0000,1374.3342,696.3156,167.5993,167.5690,0.0303
121.0000,1373.8875,697.2015,166.9150,166.9005,0.0145
