s,width_lidar_m,width_1970_m,ratio_1970_over_lidar,usable
188.0,6.9998,6.844444444444444,0.977805715083923,True
189.0,7.1455,6.4,0.8956686026170317,True
190.0,7.497,6.4,0.8536748032546353,True
191.0,7.7168,6.4,0.8293593199253577,True
192.0,7.8305,5.777777777777778,0.7378555363996907,True
193.0,8.0448,5.777777777777778,0.7182003005392026,True
194.0,7.9156,5.066666666666666,0.6400862431990836,True
195.0,7.8691,5.066666666666666,0.6438686338547821,True
196.0,7.9211,5.066666666666666,0.6396418005916686,True
197.0,7.7913,4.711111111111111,0.6046630358362676,True
198.0,8.0874,4.711111111111111,0.5825248053900031,True
199.0,8.3846,4.444444444444445,0.5300723283692059,True
200.0,8.182,4.444444444444445,0.5431978054808658,True
201.0,8.6275,4.444444444444445,0.5151485881709006,True
202.0,8.8757,4.266666666666667,0.4807132582969982,True
203.0,9.0257,4.266666666666667,0.4727241839044801,True
204.0,8.4153,4.177777777777778,0.4964502486872456,True
205.0,7.502,4.177777777777778,0.556888533428123,True
206.0,7.6931,3.7333333333333334,0.48528334914837107,True
207.0,8.2436,3.7333333333333334,0.4528765749591602,True
208.0,9.0673,3.7333333333333334,0.41173594491561255,True
209.0,9.3341,3.7333333333333334,0.3999671455559008,True
210.0,9.4177,4.177777777777778,0.4436091378763157,True
211.0,9.7374,4.177777777777778,0.4290444859796022,True
212.0,10.0275,5.2444444444444445,0.5230061774564393,True
213.0,10.2937,5.2444444444444445,0.5094809878318238,True
214.0,10.6977,6.4,0.59825943894482,True
215.0,11.216,6.4,0.5706134094151213,True
216.0,11.8741,6.4,0.538988218054421,True
217.0,11.8692,8.8,nan,False
218.0,11.6514,8.8,nan,False
219.0,11.7975,8.8,nan,False
220.0,12.2924,8.8,nan,False
221.0,12.5815,10.844444444444445,0.8619357345661841,True
222.0,12.4794,10.844444444444445,0.8689876471981381,True
223.0,12.5824,11.733333333333333,0.9325194981349609,True
224.0,12.0013,12.266666666666667,1.0221114934770956,True
225.0,11.8805,12.266666666666667,1.0325042436485559,True
226.0,11.9018,12.266666666666667,1.030656427319117,True
227.0,11.9992,12.177777777777777,1.0148824736463913,True
228.0,12.178,12.177777777777777,0.9999817521578073,True
229.0,12.0409,12.177777777777777,1.0113677364464264,True
230.0,12.0913,11.733333333333333,0.970394691499949,True
231.0,11.9318,11.733333333333333,0.983366577828436,True
232.0,11.3507,11.733333333333333,1.0337101089213294,True
233.0,11.0167,11.733333333333333,1.0650497275348636,True
234.0,10.6836,11.377777777777778,1.0649760172392992,True
235.0,10.5873,11.377777777777778,1.0746628297845322,True
236.0,10.4788,10.666666666666666,1.0179282615057703,True
237.0,10.3932,10.666666666666666,1.0263120758444624,True
238.0,10.4178,10.666666666666666,1.02388860092022,True
239.0,10.6916,10.666666666666666,0.9976679511641537,True
240.0,9.9627,10.666666666666666,1.0706602293220377,True
241.0,10.1238,10.044444444444444,0.9921614852569633,True
242.0,10.1352,10.044444444444444,0.9910455091605933,True
243.0,11.59,9.422222222222222,0.8129613651615377,True
244.0,11.7353,9.422222222222222,0.8028957267579203,True
245.0,11.2505,9.422222222222222,0.8374936422578749,True
246.0,12.5171,8.71111111111111,0.6959368472818074,True
247.0,11.9347,8.71111111111111,0.7298977863801445,True
248.0,11.5711,8.71111111111111,0.7528334480828194,True
249.0,10.8911,8.266666666666667,0.7590295440007592,True
250.0,10.4916,8.266666666666667,0.7879319328478657,True
251.0,10.7079,8.266666666666667,0.7720156768989874,True
252.0,10.5799,7.911111111111111,0.7477491385656869,True
253.0,9.8945,7.911111111111111,0.7995463248381536,True
