Name,Terrain,Type,Host Feature,Latitude,Longitude_180,Longitude_360,Funnel Max Diam,Funnel Min Diam,Inner Max Diam,Inner Min Diam,Azimuth,Depth,Depth_Num,Depth1,Depth2,Depth3,Image 1,Image 1 Line,Image 1 Sample,Inc 1,Em 1,Time 1,Res 1,Image 2,Inc 2,Em 2,Time 2,Res 2,Image 3,Inc 3,Em 3,Time 3,Res 3,Stereo IDs,DTM,Other Useful Images,Warnings,Description,Entrance Ramp?,Overhangs?,Nearby Pits?,Nearby Fractures?,Nearby Depressions?,In Dome?,Beside Dome?,In Depression?,Colinear Pits?,Colinear depressions?,Colinear Fractures?
King 24c,Impact Melt,,King,6.3389,119.9913,119.9913,13,12,12,10,25,7,7,7.5,5.8,7.8,M1120456952R,25372,2280,32.23,1.05,9.88,1.17,M106088433R,-35.34,-2.13,14.31,1.29,M1131053889R,-27.61,0.08,13.77,1.17,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,Southernmost of a triplet of round pits in a PRF.  This pit is at the southern foot of the PRF.,N,?,Y,Y,Y,Y,N,N,Y,N,N
King 25,Impact Melt,,King,6.2691,119.9429,119.9429,15,12,12,8,145,7,7,7.8,7.1,7.4,M108447638R,36985,3815,-10.95,-1.92,12.52,0.56,M1131053889L,-27.54,0.82,13.76,1.17,M1120456952R,32.26,1.78,9.88,1.17,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Irregular pit between two branches of a fracture-and-pit system.  Floor appears fairly smooth, although there's a downslope next to the W wall (or a boulder shadow- it's hard to tell at these resolutions).  Fracture system is ~60m W, ~40m E, and ~120m S, and contains some interesting (and very deep) pits.",N,?,Y,Y,Y,N,N,N,N,N,N
King 26,Impact Melt,,King,6.6385,119.82,119.82,16,12,14,11,35,5,5,6.2,6.3,3.9,M113168034L,15581,3212,47.45,-1.32,8.88,0.62,M1135766659L,28.95,-0.33,10.13,1.18,M182745931L,-48.34,1.41,15.21,1.28,"M123791947L,M123785162R",NAC_DTM_KINGCRATER3,,,"Elliptical pit.  Floor is mostly covered in 1-2m boulders. Nearby features of note are a shallow depression/linear collapse ~225m NE (not in line with this pit), and a set of collapses ~275m WNW.  No PRFs in the area.  King 41 is ~300m E.",N,?,N,Y,Y,N,N,N,N,N,N
King 27,Impact Melt,,King,6.5044,119.8719,119.8719,9,6,6,4,20,9,9,8.7,8.7,>9,M108447638L,24619,4860,-11.06,0.33,12.52,0.56,M141478563L,14.16,-0.88,11.22,0.62,,,,,,"M136762839R,M136756054R",NAC_DTM_KINGCRATER3,,"Floor is only visible in the three highest-Sun images, and M1164027461R is too high-Sun and low-resolution to use.","Round pit at the SE edge of a PRF.  The NW edge of the PRF (17m away) is collapsed, and there is an extensive fracture network to the S and E.  There's some odd geometry on the S wall of the pit that is hard to parse.",N,?,Y,Y,Y,Y,Y,N?,N,N,Y
King 28,Impact Melt,,King,6.3016,119.8593,119.8593,223,20,156,15,60,22,22,24.4,26,16.3,M108447638L,35161,4194,-10.91,0.73,12.52,0.56,M141478563L,14.06,-0.46,11.22,0.62,M154453455R,-16.1,-2.43,13.03,0.6,"M136762839R,M136756054R",NAC_DTM_KINGCRATER3,M1135766659L,,"Large linear collapse feature- looks like two parallel fractures formed over a void and the ground between them dropped.  Mostly filled with blocks and boulders.  The NE end forms a ramp to the surface, and there are a few places with fairly deep openings (depth measurements are in one such 11x9m opening near the NE end).  Several tiny depressions/pits parallel this feature ~40m N, and there are several other shallow collapses and depressions in the area that hint at a larger connected network of voids.",Y,?,Y,Y,Y,N,N,N,N,N,Y
King 29,Impact Melt,,King,6.4827,119.8145,119.8145,18,15,14,11,155,6,6,4.1,6.4,6.6,M113168034L,22857,3485,47.43,-1.15,8.87,0.62,M106088433L,-35.2,0.42,14.3,1.29,M185104801R,-20.88,-1.53,13.36,1.27,"M103732241L,M103725084L",NAC_DTM_KINGCRATER3,,,"Elliptical pit ~20m N of a ~100m wide PRF.  There's a 20x2m fracture ~130m SW, oriented towards this pit, and some subtle, very straight linear depressions running NE-SW ~60m to the NW.",N,?,N?,N,Y,N,Y,N,N,N,N
King 30,Impact Melt,,King,6.3339,119.9937,119.9937,20,15,13,8,135,6,6,6.3,6.1,5.4,M1120456952R,25180,2211,32.22,1.01,9.88,1.17,M1131053889R,-27.61,-0.08,13.77,1.17,M182745931R,-48.49,-1.23,15.22,1.27,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Elliptical pit in a field of collapses.  N rim may be a ramp to floor level.  King 24c  is ~150m NNW, King 34a is ~135m NE, and there are several other collapse features in the area.",Y?,?,Y,Y,Y,N,N,N,Y?,N,Y
King 31,Impact Melt,,King,6.5229,119.9879,119.9879,12,12,9,6,25,5,5,4.7,4.2,5.7,M1120456952R,32552,2530,32.26,1.21,9.88,1.17,M1135766659L,28.76,-2.88,10.14,1.18,M1131053889R,-27.65,-0.09,13.77,1.17,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,,,"Round pit at the NW edge of a PRF. W (lower) wall might have a ramp to floor, but it's not certain.  There are short fractures ~250m W and ~200m SW, and King 21 is ~165m S. ",N?,?,Y,Y,Y,N,Y,N,N,Y,Y
King 32,Impact Melt,,King,6.3231,119.8067,119.8067,20,16,12,11,120,6,6,6,6.2,6.3,M113168034L,30303,3877,47.42,-0.92,8.87,0.62,M106088433L,-35.16,0.53,14.3,1.29,M1135766659R,28.89,0.1,10.13,1.17,"M136762839L,M136756054L",NAC_DTM_KINGCRATER3,,,"Round pit in a PRF in a group of NW-SE-trending fractures.  One such fracture is in line with the pit, but stops ~150m SE at the edge of a nearby PRF.  The N (uphill) rim is a slope from rim to floor.",Y,?,N?,Y,Y,Y,N,N,N,Y,Y
King 33,Impact Melt,,King,6.4873,119.6998,119.6998,19,15,15,11,135,7,7,6.4,5.7,9.2,M113168034R,22490,4190,47.55,2.15,8.87,0.62,M106088433L,-35.09,2.06,14.29,1.29,M185104801R,-20.77,0.16,13.35,1.27,"M143839277L,M143832493L",NAC_DTM_KINGCRATER4,,,"Teardrop-shaped pit.  Floor has a scattering of 0.5-1m boulders, and thereâ€™s a ~5m boulder at the S end.  There are a few small linear collapse features in the general area, but nothing else that could be called a ""pit"".",N,?,N,Y,Y,N,N,N,N,N,Y?
King 34a,Impact Melt,,King,6.3372,119.9975,119.9975,37,26,34,12,55,7,7,6.7,8,5.6,M1131053889R,29702,688,-27.61,-0.12,13.77,1.17,M182745931R,-48.5,-1.28,15.22,1.27,M106088433R,-35.35,-2.22,14.31,1.29,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,M1120456952R,,"Elliptical pit at the far SE end of the PRF that contains King 24.  King 34b is 15m S.  SE side is a ramp from surface to floor.  NE half of floor is filled with 1-2m boulders, but remainder of floor is clear.  Hints of a possible overhang on the NW side (under the PRF).  King 24c is ~175m WNW, King 30 is ~125m SW, and King 42 is ~290m ESE.  There are a few other collapse features and <5m pits in the area. ",Y,Y?,Y,Y,Y,Y,Y,N,N,N,N
King 34b,Impact Melt,,King,6.3361,119.9972,119.9972,24,21,13,10,125,4,4,5.2,3.5,4.4,M1131053889R,29744,680,-27.61,-0.11,13.77,1.17,M182745931R,-48.5,-1.28,15.22,1.27,M106088433R,-35.35,-2.21,14.31,1.29,"M128509025R,M128502237R",NAC_DTM_KINGCRATER2,M1120456952R,,Irregular pit at the far SE end of the PRF that contains King 24.  Mostly filled with 1-5m boulders; SE wall appears to be an entrance ramp.,Y?,?,Y,Y,Y,Y,Y,N,N,N,N
